id,municipio,vereda,longitud,latitud,altitud,caudal_ver,vigencia,tipo_vert,sist_trata,descarga,clase_vert,actividad,fuente_rec,cuerpo_rec,tipo_desc,observacio,sist_med_c,coordenadas
134,Socota,La Costa,-72.34293611,5.998833333,1983,No Reportado,12/10/2004 12:00:00 AM,Distribuida,Normal,1,1,1 Seguimientos,Quebrada El Carcamo,Quebrada El Carcamo,Distribuida,,,POINT (-72.34293611 5.998833333)
135,Socota,La Costa,-72.342925,5.998869444,1889,No Reportado,11/07/2006 12:00:00 AM,Distribuida,Normal,1,1,1 Seguimientos,Quebrada El Carcamo,Quebrada El Carcamo,Distribuida,,,POINT (-72.342925 5.998869444)
136,Tasco,Zona Urbana,-73.12849444,5.225255556,0,No Reportado,07/28/2006 12:00:00 AM,Puntual,Normal,1,1,1 Seguimientos,Quebrada Carbonera,Quebrada Carbonera,Puntual,,Volumetrico,POINT (-73.12849444 5.225255556)
137,Tasco,Zona Urbana,-73.12843889,5.226061111,0,No Reportado,07/28/2006 12:00:00 AM,Puntual,Normal,1,1,1 Seguimientos,Quebrada Carbonera,Quebrada Carbonera,Puntual,,Volumetrico,POINT (-73.12843889 5.226061111)
138,Guican,El Calvario,-72.40583056,6.475705556,3085,10.58,,Puntual,,1,,1 Seguimientos,,,Puntual,,Volumetrico,POINT (-72.40583056 6.475705556)
234,Tunja,Runta,-73.35172222,5.517883333,0,0.014,,2,Normal,1,1,,Suelo,Suelo,Difusa,,,POINT (-73.35172222 5.517883333)
139,El Cocuy,Zona Rural,-72.44800278,6.405491667,2678,35,,Distribuida,Normal,1,,2 Seguimientos,Rio Pantano Grande,Rio Pantano Grande,Distribuida,,Volumetrico,POINT (-72.44800278 6.405491667)
140,El Cocuy,Zona Rural,-72.44815278,6.409333333,2678,35,,Distribuida,Normal,1,,2 Seguimientos,Rio Pantano Grande,Rio Pantano Grande,Distribuida,,Volumetrico,POINT (-72.44815278 6.409333333)
141,Panqueba,Urbano,-72.42775278,6.458819444,2752,2.41,,Puntual,,1,,2 Seguimientos,Rio El Cocuy,Rio El Cocuy,Puntual,,Volumetrico,POINT (-72.42775278 6.458819444)
142,Chiscas,Zona Urbana,-72.49963889,6.5543,2360,2.38,,Distribuida,Normal,1,,1 Seguimientos,Quebrada Litargon,Quebrada Litargon,Distribuida,,Volumetrico,POINT (-72.49963889 6.5543)
143,Chiscas,Zona Urbana,-72.50023056,6.553227778,2360,2.38,,Distribuida,Normal,1,,1 Seguimientos,Quebrada Litargon,Quebrada Litargon,Distribuida,,Volumetrico,POINT (-72.50023056 6.553227778)
144,Chiscas,Zona Urbana,-72.50051389,6.552497222,2360,2.38,,Distribuida,Normal,1,,1 Seguimientos,Quebrada Litargon,Quebrada Litargon,Distribuida,,Volumetrico,POINT (-72.50051389 6.552497222)
145,Chiscas,Zona Urbana,-72.49967778,6.550919444,2360,2.38,,Distribuida,Normal,1,,1 Seguimientos,Quebrada Litargon,Quebrada Litargon,Distribuida,,Volumetrico,POINT (-72.49967778 6.550919444)
146,Chiscas,Zona Urbana,-72.49854167,6.549713889,2360,2.38,,Distribuida,Normal,1,,1 Seguimientos,Quebrada Litargon,Quebrada Litargon,Distribuida,,Volumetrico,POINT (-72.49854167 6.549713889)
147,Chiscas,Zona Urbana,-72.49838889,6.549441667,2360,2.38,,Distribuida,Normal,1,,1 Seguimientos,Quebrada Litargon,Quebrada Litargon,Distribuida,,Volumetrico,POINT (-72.49838889 6.549441667)
148,Chiscas,Zona Urbana,-72.49821111,6.548919444,2360,2.38,,Distribuida,Normal,1,,1 Seguimientos,Quebrada Litargon,Quebrada Litargon,Distribuida,,Volumetrico,POINT (-72.49821111 6.548919444)
149,San Mateo,,-72.55720556,6.400711111,2214,No Reportado,,Distribuida,Normal,1,,2 Seguimientos,Quebrada Triunfo Rio Cifuentes,Quebrada Triunfo Rio Cifuentes,Distribuida,,Volumetrico,POINT (-72.55720556 6.400711111)
150,San Mateo,,-72.55743889,6.401561111,2214,No Reportado,,Distribuida,Normal,1,,2 Seguimientos,Quebrada Triunfo Rio Cifuentes,Quebrada Triunfo Rio Cifuentes,Distribuida,,Volumetrico,POINT (-72.55743889 6.401561111)
151,San Mateo,,-72.55406667,6.398136111,2214,No Reportado,,Distribuida,Normal,1,,2 Seguimientos,Quebrada Triunfo Rio Cifuentes,Quebrada Triunfo Rio Cifuentes,Distribuida,,Volumetrico,POINT (-72.55406667 6.398136111)
152,Jerico,Zona Urbana,-72.56816389,6.147669444,0,No Reportado,,Puntual,,1,,1 Seguimientos,Quebrada Seca,Quebrada Seca,Puntual,,,POINT (-72.56816389 6.147669444)
153,Rondon,Centro,-73.20815556,5.357752778,2106,No Reportado,,Puntual,Normal,1,,2 Seguimientos,Quebrada Nopocera,Quebrada Nopocera,Puntual,,Volumetrico,POINT (-73.20815556 5.357752778)
154,Rondon,Centro,-73.20738056,5.3572,2106,No Reportado,,Puntual,Normal,1,,2 Seguimientos,Quebrada Nopocera,Quebrada Nopocera,Puntual,,Volumetrico,POINT (-73.20738056 5.3572)
155,Pesca,Zona Urbana,-73.05537222,5.557211111,2603,2.484,,Distribuida,,1,,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.05537222 5.557211111)
